image_id,bbox
arrive1_0.jpg,"[0, 0.26640625, 0.5532407407407407, 0.1828125, 0.4601851851851852]"
arrive1_2.jpg,"[0, 0.33697916666666666, 0.6837962962962963, 0.14479166666666668, 0.41388888888888886]"
arrive1_3.jpg,"[0, 0.77109375, 0.5819444444444445, 0.1921875, 0.44351851851851853]"
arrive1_4.jpg,"[0, 0.6463541666666667, 0.7638888888888888, 0.146875, 0.4111111111111111]"
arrive1_5.jpg,"[0, 0.29401041666666666, 0.7398148148148148, 0.2890625, 0.4648148148148148]"
arrive1_6.jpg,"[0, 0.6630208333333333, 0.6837962962962963, 0.14479166666666668, 0.41388888888888886]"
arrive1_7.jpg,"[0, 0.6059895833333333, 0.4703703703703704, 0.20572916666666666, 0.4425925925925926]"
arrive1_8.jpg,"[0, 0.68984375, 0.6615740740740741, 0.15677083333333333, 0.41388888888888886]"
arrive1_9.jpg,"[0, 0.33697916666666666, 0.6837962962962963, 0.14479166666666668, 0.41388888888888886]"
arrive1_10.jpg,"[0, 0.7731770833333333, 0.462037037037037, 0.22135416666666666, 0.4722222222222222]"
arrive1_11.jpg,"[0, 0.32395833333333335, 0.6856481481481481, 0.2947916666666667, 0.47314814814814815]"
arrive1_12.jpg,"[0, 0.3104166666666667, 0.7814814814814814, 0.2125, 0.43703703703703706]"
arrive1_13.jpg,"[0, 0.08020833333333334, 0.7981481481481482, 0.16041666666666668, 0.40370370370370373]"
arrive1_14.jpg,"[0, 0.6479166666666667, 0.7342592592592593, 0.140625, 0.39444444444444443]"
arrive1_15.jpg,"[0, 0.6630208333333333, 0.6837962962962963, 0.14479166666666668, 0.41388888888888886]"
arrive1_16.jpg,"[0, 0.5973958333333333, 0.7592592592592593, 0.153125, 0.43148148148148147]"
arrive1_17.jpg,"[0, 0.8484375, 0.6754629629629629, 0.303125, 0.487962962962963]"
arrive1_18.jpg,"[0, 0.6630208333333333, 0.6837962962962963, 0.14479166666666668, 0.41388888888888886]"
arrive1_19.jpg,"[0, 0.33697916666666666, 0.6837962962962963, 0.14479166666666668, 0.41388888888888886]"
arrive0_0.jpg,"[0, 0.6221354166666667, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_1.jpg,"[0, 0.6302083333333334, 0.4166666666666667, 0.2552083333333333, 0.4722222222222222]"
arrive0_2.jpg,"[0, 0.05520833333333333, 0.4962962962962963, 0.11041666666666666, 0.5777777777777777]"
arrive0_3.jpg,"[0, 0.70546875, 0.34444444444444444, 0.21302083333333333, 0.4111111111111111]"
arrive0_4.jpg,"[0, 0.6221354166666667, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_5.jpg,"[0, 0.6221354166666667, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_6.jpg,"[0, 0.6221354166666667, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_7.jpg,"[0, 0.1484375, 0.43796296296296294, 0.296875, 0.44814814814814813]"
arrive0_8.jpg,"[0, 0.7223958333333333, 0.575925925925926, 0.24166666666666667, 0.46296296296296297]"
arrive0_9.jpg,"[0, 0.01640625, 0.4777777777777778, 0.0328125, 0.4203703703703704]"
arrive0_10.jpg,"[0, 0.6221354166666667, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_11.jpg,"[0, 0.37786458333333334, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_12.jpg,"[0, 0.653125, 0.5305555555555556, 0.20208333333333334, 0.3962962962962963]"
arrive0_13.jpg,"[0, 0.37786458333333334, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_14.jpg,"[0, 0.37786458333333334, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_15.jpg,"[0, 0.7057291666666666, 0.5328703703703703, 0.228125, 0.4398148148148148]"
arrive0_16.jpg,"[0, 0.21666666666666667, 0.44351851851851853, 0.43333333333333335, 0.4740740740740741]"
arrive0_17.jpg,"[0, 0.6520833333333333, 0.4305555555555556, 0.2552083333333333, 0.47962962962962963]"
arrive0_18.jpg,"[0, 0.37786458333333334, 0.449537037037037, 0.18177083333333333, 0.3638888888888889]"
arrive0_19.jpg,"[0, 0.29973958333333334, 0.5791666666666667, 0.22447916666666667, 0.4287037037037037]"
arrive2_0.jpg,"[0, 0.9208333333333333, 0.2972222222222222, 0.15833333333333333, 0.5185185185185185]"
